""
"('FeLip9', 'PET', 1, 3, 3, 9)"
"('FeLip9', 'PET', 1, 3, 4, 10)"
"('FeLip9', 'PET', 1, 3, 5, 11)"
"('FeLip9', 'PET', 1, 3, 6, 17)"
"('FeLip9', 'PET', 1, 3, 7, 18)"
"('FeLip9', 'PET', 1, 3, 8, 22)"
"('FeLip9', 'PET', 1, 3, 9, 30)"
"('FeLip9', 'PET', 1, 3, 10, 31)"
"('FeLip9', 'PET', 1, 3, 11, 38)"
"('FeLip9', 'PET', 1, 3, 12, 45)"
"('FeLip9', 'PET', 1, 3, 13, 47)"
"('FeLip9', 'PET', 1, 3, 14, 52)"
"('FeLip9', 'PET', 1, 3, 15, 57)"
"('FeLip9', 'PET', 1, 3, 16, 69)"
"('FeLip9', 'PET', 1, 3, 17, 73)"
"('FeLip9', 'PET', 1, 3, 18, 80)"
"('FeLip9', 'PET', 1, 3, 19, 81)"
"('FeLip9', 'PET', 1, 3, 20, 83)"
"('FeLip9', 'PET', 1, 3, 21, 89)"
"('FeLip9', 'PET', 1, 3, 22, 92)"
"('FeLip9', 'PET', 1, 3, 23, 95)"
"('FeLip9', 'PET', 1, 3, 24, 98)"
"('FeLip9', 'PET', 1, 4, 0, 0)"
"('FeLip9', 'PET', 1, 4, 1, 1)"
"('FeLip9', 'PET', 1, 4, 2, 4)"
"('FeLip9', 'PET', 1, 4, 3, 7)"
"('FeLip9', 'PET', 1, 4, 4, 9)"
"('FeLip9', 'PET', 1, 4, 5, 10)"
"('FeLip9', 'PET', 1, 4, 6, 11)"
"('FeLip9', 'PET', 1, 4, 7, 13)"
"('FeLip9', 'PET', 1, 4, 8, 15)"
"('FeLip9', 'PET', 1, 4, 9, 16)"
"('FeLip9', 'PET', 1, 4, 10, 17)"
"('FeLip9', 'PET', 1, 4, 11, 21)"
"('FeLip9', 'PET', 1, 4, 12, 22)"
"('FeLip9', 'PET', 1, 4, 13, 29)"
"('FeLip9', 'PET', 1, 4, 14, 37)"
"('FeLip9', 'PET', 1, 4, 15, 70)"
"('FeLip9', 'PET', 1, 4, 16, 71)"
"('FeLip9', 'PET', 1, 4, 17, 72)"
"('FeLip9', 'PET', 1, 4, 18, 78)"
"('FeLip9', 'PET', 1, 4, 19, 80)"
"('FeLip9', 'PET', 1, 4, 20, 81)"
"('FeLip9', 'PET', 1, 4, 21, 84)"
"('FeLip9', 'PET', 1, 5, 0, 0)"
"('FeLip9', 'PET', 1, 5, 1, 1)"
"('FeLip9', 'PET', 1, 5, 2, 2)"
"('FeLip9', 'PET', 1, 5, 3, 6)"
"('FeLip9', 'PET', 1, 5, 4, 7)"
"('FeLip9', 'PET', 1, 5, 5, 8)"
"('FeLip9', 'PET', 1, 5, 6, 9)"
"('FeLip9', 'PET', 1, 5, 7, 11)"
"('FeLip9', 'PET', 1, 5, 8, 12)"
"('FeLip9', 'PET', 1, 5, 9, 31)"
"('FeLip9', 'PET', 1, 5, 10, 32)"
"('FeLip9', 'PET', 1, 5, 11, 34)"
"('FeLip9', 'PET', 1, 5, 12, 37)"
"('FeLip9', 'PET', 1, 5, 13, 54)"
"('FeLip9', 'PET', 1, 5, 14, 59)"
"('FeLip9', 'PET', 1, 5, 15, 66)"
"('FeLip9', 'PET', 1, 5, 16, 70)"
"('FeLip9', 'PET', 1, 5, 17, 74)"
"('FeLip9', 'PET', 1, 5, 18, 75)"
"('FeLip9', 'PET', 1, 5, 19, 80)"
"('FeLip9', 'PET', 1, 5, 20, 83)"
"('FeLip9', 'PET', 1, 5, 21, 85)"
"('FeLip9', 'PET', 1, 5, 22, 87)"
"('FeLip9', 'PET', 1, 5, 23, 88)"
"('FeLip9', 'PET', 1, 5, 24, 93)"
"('FeLip9', 'PET', 1, 6, 0, 0)"
"('FeLip9', 'PET', 1, 6, 1, 1)"
"('FeLip9', 'PET', 1, 6, 2, 4)"
"('FeLip9', 'PET', 1, 6, 3, 5)"
"('FeLip9', 'PET', 1, 6, 4, 7)"
"('FeLip9', 'PET', 1, 6, 5, 8)"
"('FeLip9', 'PET', 1, 6, 6, 15)"
"('FeLip9', 'PET', 1, 6, 7, 43)"
"('FeLip9', 'PET', 1, 6, 8, 94)"
"('FeLip9', 'PET', 1, 6, 9, 98)"
"('FeLip9', 'PET', 1, 7, 0, 0)"
"('FeLip9', 'PET', 1, 7, 1, 1)"
"('FeLip9', 'PET', 1, 7, 2, 2)"
