,Total Energy,Binding Energy,Ligand SASA
"('FeLip9', 'PET', 1, 42, 5, 6)",-7139.38,-17.3997,0.734026
"('FeLip9', 'PET', 1, 42, 6, 7)",-7149.14,-22.8573,0.742131
"('FeLip9', 'PET', 1, 42, 7, 16)",-7151.47,-21.1203,0.758191
"('FeLip9', 'PET', 1, 42, 8, 27)",-7150.43,-23.3261,0.718853
"('FeLip9', 'PET', 1, 42, 9, 37)",-7151.1,-22.2915,0.717969
"('FeLip9', 'PET', 1, 42, 10, 43)",-7149.78,-19.2078,0.766992
"('FeLip9', 'PET', 1, 42, 11, 44)",-7154.09,-22.4796,0.750991
"('FeLip9', 'PET', 1, 42, 12, 56)",-7157.79,-24.1718,0.664612
"('FeLip9', 'PET', 1, 42, 13, 61)",-7159.71,-24.3632,0.650753
"('FeLip9', 'PET', 1, 42, 14, 79)",-7156.28,-21.0526,0.66429
"('FeLip9', 'PET', 1, 42, 15, 80)",-7150.23,-16.8184,0.697005
"('FeLip9', 'PET', 1, 42, 16, 81)",-7152.92,-17.3142,0.665826
"('FeLip9', 'PET', 1, 42, 17, 82)",-7153.16,-17.1929,0.653182
"('FeLip9', 'PET', 1, 42, 18, 87)",-7158.61,-30.0119,0.624144
"('FeLip9', 'PET', 1, 42, 19, 91)",-7160.1,-30.0199,0.636697
"('FeLip9', 'PET', 1, 42, 20, 93)",-7163.61,-32.3921,0.621501
"('FeLip9', 'PET', 1, 43, 0, 0)",-7140.88,-42.9172,0.550274
"('FeLip9', 'PET', 1, 43, 1, 1)",-7145.22,-18.9738,0.752182
"('FeLip9', 'PET', 1, 43, 2, 3)",-7157.59,-22.3054,0.57296
"('FeLip9', 'PET', 1, 43, 3, 4)",-7158.27,-21.871,0.57415
"('FeLip9', 'PET', 1, 43, 4, 11)",-7158.3,-24.6608,0.570314
"('FeLip9', 'PET', 1, 43, 5, 12)",-7159.62,-23.5715,0.588339
"('FeLip9', 'PET', 1, 43, 6, 15)",-7160.7,-23.3509,0.571018
"('FeLip9', 'PET', 1, 43, 7, 35)",-7157.05,-25.0794,0.61681
"('FeLip9', 'PET', 1, 43, 8, 44)",-7155.42,-26.6221,0.636139
"('FeLip9', 'PET', 1, 43, 9, 52)",-7158.07,-32.0331,0.591922
"('FeLip9', 'PET', 1, 43, 10, 74)",-7154.29,-26.6001,0.554589
"('FeLip9', 'PET', 1, 43, 11, 98)",-7156.13,-27.8721,0.562987
"('FeLip9', 'PET', 1, 43, 12, 100)",-7158.14,-27.8474,0.552883
"('FeLip9', 'PET', 1, 44, 0, 0)",-7142.08,-41.8981,0.543244
"('FeLip9', 'PET', 1, 44, 1, 1)",-7147.47,-9.2599,0.854337
"('FeLip9', 'PET', 1, 44, 2, 2)",-7152.23,-12.8949,0.780195
"('FeLip9', 'PET', 1, 44, 3, 3)",-7156.48,-19.2885,0.735861
"('FeLip9', 'PET', 1, 44, 4, 5)",-7163.21,-29.5029,0.622228
"('FeLip9', 'PET', 1, 44, 5, 7)",-7165.52,-29.9385,0.628774
"('FeLip9', 'PET', 1, 44, 6, 9)",-7161.56,-27.0681,0.682024
"('FeLip9', 'PET', 1, 44, 7, 10)",-7161.6,-21.7434,0.756983
"('FeLip9', 'PET', 1, 44, 8, 13)",-7161.6,-19.5701,0.735165
"('FeLip9', 'PET', 1, 44, 9, 14)",-7165.8,-24.751,0.642605
"('FeLip9', 'PET', 1, 44, 10, 45)",-7164.95,-23.5016,0.658622
"('FeLip9', 'PET', 1, 44, 11, 47)",-7148.55,-6.76519,0.812555
"('FeLip9', 'PET', 1, 44, 12, 48)",-7145.17,-8.84323,0.794139
"('FeLip9', 'PET', 1, 44, 13, 49)",-7163.41,-23.4861,0.624598
"('FeLip9', 'PET', 1, 44, 14, 64)",-7166.18,-23.5526,0.582448
"('FeLip9', 'PET', 1, 44, 15, 79)",-7164.51,-19.8115,0.589217
"('FeLip9', 'PET', 1, 44, 16, 85)",-7164.19,-21.416,0.609693
"('FeLip9', 'PET', 1, 44, 17, 87)",-7167.72,-22.486,0.547317
"('FeLip9', 'PET', 1, 44, 18, 96)",-7166.12,-19.3719,0.554698
"('FeLip9', 'PET', 1, 44, 19, 99)",-7169.58,-24.4272,0.542087
"('FeLip9', 'PET', 1, 45, 0, 0)",-7146.69,-45.4587,0.547429
"('FeLip9', 'PET', 1, 45, 1, 1)",-7158.65,-20.9039,0.767361
"('FeLip9', 'PET', 1, 45, 2, 2)",-7155.64,-15.8198,0.798873
"('FeLip9', 'PET', 1, 45, 3, 3)",-7167.92,-27.6734,0.639584
"('FeLip9', 'PET', 1, 45, 4, 7)",-7162.66,-22.7954,0.707682
"('FeLip9', 'PET', 1, 45, 5, 9)",-7165.16,-23.1324,0.640517
"('FeLip9', 'PET', 1, 45, 6, 23)",-7167.81,-28.3872,0.614067
"('FeLip9', 'PET', 1, 45, 7, 47)",-7161.32,-22.9512,0.625112
"('FeLip9', 'PET', 1, 45, 8, 50)",-7156.29,-19.6877,0.752298
"('FeLip9', 'PET', 1, 45, 9, 51)",-7164.53,-25.0125,0.744762
"('FeLip9', 'PET', 1, 45, 10, 52)",-7167.03,-29.0237,0.659946
"('FeLip9', 'PET', 1, 45, 11, 56)",-7166.85,-32.6891,0.628902
"('FeLip9', 'PET', 1, 45, 12, 59)",-7166.05,-33.2232,0.613762
"('FeLip9', 'PET', 1, 45, 13, 62)",-7172.79,-39.2538,0.609129
"('FeLip9', 'PET', 1, 45, 14, 65)",-7167.26,-37.0198,0.597191
"('FeLip9', 'PET', 1, 45, 15, 73)",-7172.62,-41.4773,0.606303
"('FeLip9', 'PET', 1, 46, 0, 0)",-7147.81,-44.5605,0.520056
"('FeLip9', 'PET', 1, 46, 1, 1)",-7163.59,-35.7377,0.620443
"('FeLip9', 'PET', 1, 46, 2, 10)",-7168.32,-37.5622,0.547631
"('FeLip9', 'PET', 1, 46, 3, 11)",-7172.14,-40.6193,0.502402
"('FeLip9', 'PET', 1, 46, 4, 14)",-7177.45,-46.2106,0.502466
"('FeLip9', 'PET', 1, 47, 0, 0)",-7130.21,-44.5342,0.549616
"('FeLip9', 'PET', 1, 47, 1, 1)",-7142.98,-21.3574,0.74048
"('FeLip9', 'PET', 1, 47, 2, 2)",-7143.52,-24.0661,0.661987
"('FeLip9', 'PET', 1, 47, 3, 3)",-7148.44,-26.2662,0.655078
"('FeLip9', 'PET', 1, 47, 4, 6)",-7146.43,-20.6058,0.711319
"('FeLip9', 'PET', 1, 47, 5, 8)",-7149.77,-22.1758,0.701177
"('FeLip9', 'PET', 1, 47, 6, 12)",-7150.96,-21.6295,0.723934
"('FeLip9', 'PET', 1, 47, 7, 13)",-7152.14,-22.2748,0.728024
"('FeLip9', 'PET', 1, 47, 8, 18)",-7152.55,-21.5135,0.72483
"('FeLip9', 'PET', 1, 47, 9, 22)",-7159.85,-31.7268,0.649193
"('FeLip9', 'PET', 1, 47, 10, 24)",-7157.9,-29.279,0.683328
"('FeLip9', 'PET', 1, 47, 11, 31)",-7155.29,-31.1343,0.657595
"('FeLip9', 'PET', 1, 47, 12, 43)",-7163.47,-34.3142,0.635183
"('FeLip9', 'PET', 1, 47, 13, 60)",-7142.2,-14.5546,0.779541
"('FeLip9', 'PET', 1, 47, 14, 61)",-7141.34,-14.5108,0.793473
"('FeLip9', 'PET', 1, 47, 15, 62)",-7146.06,-18.0982,0.778165
"('FeLip9', 'PET', 1, 47, 16, 67)",-7153.99,-27.4118,0.608701
"('FeLip9', 'PET', 1, 47, 17, 71)",-7154.7,-28.4557,0.607559
"('FeLip9', 'PET', 1, 47, 18, 82)",-7153.01,-23.3806,0.568415
"('FeLip9', 'PET', 1, 47, 19, 89)",-7159.88,-32.4701,0.571801
"('FeLip9', 'PET', 2, 1, 0, 0)",-7146.84,-26.848,0.681359
"('FeLip9', 'PET', 2, 1, 1, 1)",-7156.43,-11.7653,0.758382
"('FeLip9', 'PET', 2, 1, 2, 2)",-7162.19,-17.3871,0.805294
"('FeLip9', 'PET', 2, 1, 3, 5)",-7156.92,-17.944,0.753947
"('FeLip9', 'PET', 2, 1, 4, 7)",-7159.71,-16.5127,0.839331
"('FeLip9', 'PET', 2, 1, 5, 8)",-7163.31,-18.2127,0.826533
"('FeLip9', 'PET', 2, 1, 6, 19)",-7159.46,-14.5203,0.803335
"('FeLip9', 'PET', 2, 1, 7, 25)",-7157.44,-10.4124,0.828765
"('FeLip9', 'PET', 2, 1, 8, 29)",-7156.35,-11.1554,0.856778
"('FeLip9', 'PET', 2, 1, 9, 31)",-7163.14,-17.057,0.805916
"('FeLip9', 'PET', 2, 1, 10, 38)",-7159.66,-17.1192,0.816472
"('FeLip9', 'PET', 2, 1, 11, 39)",-7158.57,-13.9029,0.840283
"('FeLip9', 'PET', 2, 1, 12, 40)",-7160.53,-17.1223,0.8605
"('FeLip9', 'PET', 2, 1, 13, 45)",-7161.1,-22.203,0.775692
"('FeLip9', 'PET', 2, 1, 14, 46)",-7174.84,-35.7949,0.71417
"('FeLip9', 'PET', 2, 1, 15, 55)",-7176.1,-34.5922,0.703101
"('FeLip9', 'PET', 2, 1, 16, 66)",-7174.69,-34.3566,0.68546
"('FeLip9', 'PET', 2, 1, 17, 76)",-7183.28,-42.1075,0.61889
"('FeLip9', 'PET', 2, 2, 0, 0)",-7143.44,-27.2984,0.674594
"('FeLip9', 'PET', 2, 2, 1, 1)",-7174.25,-31.8237,0.703709
"('FeLip9', 'PET', 2, 2, 2, 10)",-7175.94,-30.9494,0.671452
"('FeLip9', 'PET', 2, 2, 3, 14)",-7175.85,-32.4928,0.652554
"('FeLip9', 'PET', 2, 2, 4, 22)",-7174.2,-32.522,0.651755
"('FeLip9', 'PET', 2, 2, 5, 25)",-7173.71,-29.6286,0.675107
"('FeLip9', 'PET', 2, 2, 6, 28)",-7174.8,-29.0954,0.617478
"('FeLip9', 'PET', 2, 2, 7, 35)",-7175.22,-30.4027,0.60244
"('FeLip9', 'PET', 2, 2, 8, 40)",-7170.56,-29.6501,0.625
"('FeLip9', 'PET', 2, 2, 9, 46)",-7170.8,-25.4232,0.623963
"('FeLip9', 'PET', 2, 2, 10, 47)",-7172.0,-26.5407,0.644477
"('FeLip9', 'PET', 2, 2, 11, 56)",-7167.66,-22.8902,0.724937
"('FeLip9', 'PET', 2, 2, 12, 57)",-7172.28,-29.2299,0.630116
"('FeLip9', 'PET', 2, 2, 13, 85)",-7177.8,-34.8812,0.60747
"('FeLip9', 'PET', 2, 3, 0, 0)",-7139.66,-18.3351,0.7063
"('FeLip9', 'PET', 2, 3, 1, 2)",-7144.95,-6.82586,0.940691
"('FeLip9', 'PET', 2, 3, 2, 3)",-7154.33,-14.7004,0.889807
"('FeLip9', 'PET', 2, 3, 3, 8)",-7157.65,-16.808,0.873205
"('FeLip9', 'PET', 2, 3, 4, 11)",-7154.11,-15.1443,0.830227
"('FeLip9', 'PET', 2, 3, 5, 14)",-7153.36,-16.9482,0.810724
"('FeLip9', 'PET', 2, 3, 6, 16)",-7153.89,-16.771,0.87068
"('FeLip9', 'PET', 2, 3, 7, 18)",-7145.22,-4.33658,0.931623
"('FeLip9', 'PET', 2, 3, 8, 19)",-7153.51,-14.1654,0.837311
"('FeLip9', 'PET', 2, 3, 9, 20)",-7154.21,-15.0223,0.826368
"('FeLip9', 'PET', 2, 3, 10, 21)",-7152.48,-12.2867,0.859879
"('FeLip9', 'PET', 2, 3, 11, 22)",-7154.14,-13.2146,0.842791
"('FeLip9', 'PET', 2, 3, 12, 23)",-7159.91,-20.6422,0.801686
"('FeLip9', 'PET', 2, 3, 13, 25)",-7156.37,-17.5592,0.796968
"('FeLip9', 'PET', 2, 3, 14, 26)",-7154.51,-14.2718,0.830357
"('FeLip9', 'PET', 2, 3, 15, 27)",-7157.27,-19.9078,0.881891
"('FeLip9', 'PET', 2, 3, 16, 35)",-7157.49,-15.859,0.878516
"('FeLip9', 'PET', 2, 3, 17, 39)",-7156.65,-14.5281,0.90455
"('FeLip9', 'PET', 2, 3, 18, 40)",-7155.9,-15.3894,0.863409
"('FeLip9', 'PET', 2, 3, 19, 42)",-7158.06,-16.8597,0.828693
"('FeLip9', 'PET', 2, 3, 20, 43)",-7158.15,-16.7816,0.828811
"('FeLip9', 'PET', 2, 3, 21, 49)",-7156.53,-15.1938,0.834958
"('FeLip9', 'PET', 2, 3, 22, 52)",-7148.08,-5.33386,0.917952
"('FeLip9', 'PET', 2, 3, 23, 53)",-7155.73,-22.3707,0.884386
"('FeLip9', 'PET', 2, 3, 24, 61)",-7159.84,-19.1333,0.786941
"('FeLip9', 'PET', 2, 3, 25, 63)",-7165.49,-26.5638,0.722214
"('FeLip9', 'PET', 2, 3, 26, 67)",-7167.53,-27.1935,0.741561
"('FeLip9', 'PET', 2, 3, 27, 71)",-7167.04,-30.9849,0.738557
"('FeLip9', 'PET', 2, 3, 28, 80)",-7167.71,-26.601,0.744509
"('FeLip9', 'PET', 2, 3, 29, 88)",-7166.95,-26.0407,0.769336
"('FeLip9', 'PET', 2, 3, 30, 91)",-7166.4,-28.5503,0.766639
"('FeLip9', 'PET', 2, 3, 31, 92)",-7171.04,-31.0973,0.736595
"('FeLip9', 'PET', 2, 4, 0, 0)",-7155.27,-33.2176,0.631254
"('FeLip9', 'PET', 2, 4, 1, 1)",-7166.43,-19.9942,0.798095
"('FeLip9', 'PET', 2, 4, 2, 3)",-7172.82,-30.2055,0.712711
"('FeLip9', 'PET', 2, 4, 3, 8)",-7174.84,-34.0063,0.694006
"('FeLip9', 'PET', 2, 4, 4, 10)",-7173.44,-31.1602,0.703995
"('FeLip9', 'PET', 2, 4, 5, 12)",-7180.04,-39.5016,0.657288
"('FeLip9', 'PET', 2, 4, 6, 61)",-7181.01,-39.4374,0.66771
"('FeLip9', 'PET', 2, 4, 7, 66)",-7178.57,-38.9669,0.642628
"('FeLip9', 'PET', 2, 4, 8, 69)",-7178.1,-41.2844,0.622761
"('FeLip9', 'PET', 2, 4, 9, 78)",-7178.75,-36.9872,0.681499
"('FeLip9', 'PET', 2, 4, 10, 95)",-7181.29,-41.562,0.644248
"('FeLip9', 'PET', 2, 5, 0, 0)",-7156.76,-48.0743,0.49958
"('FeLip9', 'PET', 2, 5, 1, 1)",-7170.63,-33.0067,0.617064
"('FeLip9', 'PET', 2, 5, 2, 3)",-7166.06,-31.6288,0.588852
"('FeLip9', 'PET', 2, 5, 3, 8)",-7170.12,-33.0526,0.569625
"('FeLip9', 'PET', 2, 5, 4, 19)",-7173.75,-34.778,0.561627
"('FeLip9', 'PET', 2, 5, 5, 87)",-7176.2,-41.2939,0.546049
"('FeLip9', 'PET', 2, 6, 0, 0)",-7156.99,-31.2599,0.613903
"('FeLip9', 'PET', 2, 6, 1, 1)",-7152.34,-11.1756,0.846899
"('FeLip9', 'PET', 2, 6, 2, 2)",-7154.75,-10.8145,0.827296
"('FeLip9', 'PET', 2, 6, 3, 3)",-7156.79,-13.756,0.787151
"('FeLip9', 'PET', 2, 6, 4, 8)",-7163.51,-20.7773,0.728052
"('FeLip9', 'PET', 2, 6, 5, 10)",-7158.6,-6.22738,0.837805
"('FeLip9', 'PET', 2, 6, 6, 11)",-7167.58,-8.45519,0.767316
"('FeLip9', 'PET', 2, 6, 7, 12)",-7168.57,-19.479,0.825956
"('FeLip9', 'PET', 2, 6, 8, 25)",-7164.31,-16.8907,0.760368
"('FeLip9', 'PET', 2, 6, 9, 27)",-7167.43,-16.109,0.735625
"('FeLip9', 'PET', 2, 6, 10, 28)",-7172.7,-20.4978,0.732054
"('FeLip9', 'PET', 2, 6, 11, 36)",-7173.23,-17.7847,0.747357
"('FeLip9', 'PET', 2, 6, 12, 37)",-7173.27,-19.248,0.719324
"('FeLip9', 'PET', 2, 6, 13, 39)",-7171.7,-18.859,0.722283
"('FeLip9', 'PET', 2, 6, 14, 42)",-7170.94,-18.3195,0.744303
"('FeLip9', 'PET', 2, 6, 15, 51)",-7167.98,-14.6628,0.737636
"('FeLip9', 'PET', 2, 6, 16, 52)",-7175.1,-22.8599,0.681066
"('FeLip9', 'PET', 2, 6, 17, 67)",-7171.12,-17.2912,0.714809
"('FeLip9', 'PET', 2, 6, 18, 75)",-7170.04,-17.7762,0.710436
"('FeLip9', 'PET', 2, 6, 19, 77)",-7168.51,-16.1696,0.713567
"('FeLip9', 'PET', 2, 6, 20, 80)",-7170.74,-15.1108,0.714469
"('FeLip9', 'PET', 2, 6, 21, 82)",-7162.24,-9.96972,0.712765
"('FeLip9', 'PET', 2, 6, 22, 84)",-7170.05,-16.1685,0.736432
"('FeLip9', 'PET', 2, 6, 23, 87)",-7169.7,-11.7736,0.721702
"('FeLip9', 'PET', 2, 6, 24, 89)",-7163.25,-14.0073,0.706684
"('FeLip9', 'PET', 2, 6, 25, 90)",-7167.72,-14.8492,0.657251
"('FeLip9', 'PET', 2, 6, 26, 92)",-7165.49,-9.88296,0.713277
"('FeLip9', 'PET', 2, 6, 27, 96)",-7165.9,-13.1954,0.67358
"('FeLip9', 'PET', 2, 7, 0, 0)",-7142.85,-35.3718,0.651536
"('FeLip9', 'PET', 2, 7, 1, 1)",-7172.16,-37.7084,0.619881
"('FeLip9', 'PET', 2, 7, 2, 8)",-7174.74,-36.1453,0.625969
"('FeLip9', 'PET', 2, 7, 3, 21)",-7159.14,-29.5314,0.621137
"('FeLip9', 'PET', 2, 7, 4, 23)",-7161.07,-27.884,0.626866
"('FeLip9', 'PET', 2, 7, 5, 26)",-7169.71,-27.9086,0.632217
"('FeLip9', 'PET', 2, 7, 6, 27)",-7177.2,-36.2532,0.593583
"('FeLip9', 'PET', 2, 7, 7, 48)",-7170.63,-30.032,0.610515
"('FeLip9', 'PET', 2, 7, 8, 50)",-7173.71,-33.8492,0.622859
"('FeLip9', 'PET', 2, 7, 9, 58)",-7174.71,-35.4391,0.599892
"('FeLip9', 'PET', 2, 7, 10, 68)",-7175.17,-37.1276,0.604546
"('FeLip9', 'PET', 2, 7, 11, 86)",-7177.21,-40.6214,0.587222
"('FeLip9', 'PET', 2, 8, 0, 0)",-7145.35,-21.652,0.70683
"('FeLip9', 'PET', 2, 8, 1, 3)",-7173.6,-19.4116,0.704296
"('FeLip9', 'PET', 2, 8, 2, 4)",-7170.19,-17.5315,0.700733
"('FeLip9', 'PET', 2, 8, 3, 5)",-7173.63,-21.5164,0.694113
"('FeLip9', 'PET', 2, 8, 4, 6)",-7174.12,-22.7258,0.672906
"('FeLip9', 'PET', 2, 8, 5, 12)",-7175.68,-27.6929,0.643764
"('FeLip9', 'PET', 2, 8, 6, 24)",-7176.23,-27.1115,0.658288
"('FeLip9', 'PET', 2, 8, 7, 37)",-7172.87,-22.093,0.662469
"('FeLip9', 'PET', 2, 8, 8, 38)",-7170.03,-19.9373,0.666135
"('FeLip9', 'PET', 2, 8, 9, 40)",-7174.97,-26.0281,0.672922
"('FeLip9', 'PET', 2, 8, 10, 45)",-7175.18,-25.0659,0.643771
"('FeLip9', 'PET', 2, 8, 11, 49)",-7173.9,-23.3636,0.644917
"('FeLip9', 'PET', 2, 8, 12, 51)",-7174.46,-25.0827,0.637904
"('FeLip9', 'PET', 2, 8, 13, 56)",-7174.06,-24.2787,0.646829
"('FeLip9', 'PET', 2, 8, 14, 61)",-7172.6,-25.1248,0.630357
"('FeLip9', 'PET', 2, 8, 15, 72)",-7173.39,-24.4356,0.675531
"('FeLip9', 'PET', 2, 8, 16, 74)",-7172.04,-23.7314,0.666674
"('FeLip9', 'PET', 2, 8, 17, 80)",-7170.36,-22.1993,0.678543
"('FeLip9', 'PET', 2, 8, 18, 90)",-7173.13,-25.6145,0.66208
"('FeLip9', 'PET', 2, 8, 19, 95)",-7170.48,-21.8757,0.683825
"('FeLip9', 'PET', 2, 8, 20, 96)",-7174.76,-26.3557,0.654429
"('FeLip9', 'PET', 2, 8, 21, 97)",-7176.1,-26.5045,0.660791
"('FeLip9', 'PET', 2, 9, 0, 0)",-7132.81,-39.3581,0.577466
"('FeLip9', 'PET', 2, 9, 1, 2)",-7131.95,-9.7069,0.831319
"('FeLip9', 'PET', 2, 9, 2, 3)",-7132.36,-8.2131,0.835388
"('FeLip9', 'PET', 2, 9, 3, 5)",-7143.49,-17.1834,0.720348
"('FeLip9', 'PET', 2, 9, 4, 6)",-7143.23,-15.2038,0.729942
"('FeLip9', 'PET', 2, 9, 5, 7)",-7144.68,-18.669,0.726562
"('FeLip9', 'PET', 2, 9, 6, 11)",-7148.66,-22.8439,0.73864
"('FeLip9', 'PET', 2, 9, 7, 19)",-7153.39,-30.3863,0.645517
"('FeLip9', 'PET', 2, 9, 8, 28)",-7153.23,-31.2667,0.644717
"('FeLip9', 'PET', 2, 9, 9, 37)",-7147.66,-27.0817,0.671248
"('FeLip9', 'PET', 2, 9, 10, 45)",-7149.1,-25.8989,0.630612
"('FeLip9', 'PET', 2, 9, 11, 52)",-7150.67,-26.1183,0.658769
"('FeLip9', 'PET', 2, 9, 12, 74)",-7150.87,-24.8233,0.652252
"('FeLip9', 'PET', 2, 9, 13, 77)",-7149.68,-23.5327,0.671486
"('FeLip9', 'PET', 2, 9, 14, 85)",-7155.49,-30.8142,0.65788
"('FeLip9', 'PET', 2, 9, 15, 87)",-7157.12,-34.1913,0.637224
"('FeLip9', 'PET', 2, 9, 16, 91)",-7158.28,-36.3514,0.612083
"('FeLip9', 'PET', 2, 9, 17, 93)",-7156.46,-33.7371,0.617628
"('FeLip9', 'PET', 2, 9, 18, 97)",-7160.9,-39.9778,0.596645
"('FeLip9', 'PET', 2, 10, 0, 0)",-7153.63,-38.5081,0.590041
"('FeLip9', 'PET', 2, 10, 1, 1)",-7162.31,-25.0628,0.633827
"('FeLip9', 'PET', 2, 10, 2, 2)",-7152.82,-10.2268,0.703069
"('FeLip9', 'PET', 2, 10, 3, 6)",-7165.52,-23.7041,0.647128
"('FeLip9', 'PET', 2, 10, 4, 7)",-7166.81,-23.3931,0.632175
"('FeLip9', 'PET', 2, 10, 5, 8)",-7170.16,-26.3875,0.603079
"('FeLip9', 'PET', 2, 10, 6, 11)",-7171.25,-27.9728,0.602352
"('FeLip9', 'PET', 2, 10, 7, 14)",-7174.92,-32.7325,0.564822
"('FeLip9', 'PET', 2, 10, 8, 29)",-7176.68,-30.249,0.564019
"('FeLip9', 'PET', 2, 10, 9, 34)",-7174.87,-27.8131,0.590412
"('FeLip9', 'PET', 2, 10, 10, 35)",-7177.21,-32.5691,0.543945
"('FeLip9', 'PET', 2, 10, 11, 46)",-7174.49,-36.4708,0.529716
"('FeLip9', 'PET', 2, 10, 12, 55)",-7170.81,-29.8139,0.556166
"('FeLip9', 'PET', 2, 10, 13, 58)",-7168.72,-23.4394,0.55784
"('FeLip9', 'PET', 2, 10, 14, 59)",-7175.41,-30.2878,0.53272
"('FeLip9', 'PET', 2, 10, 15, 75)",-7172.51,-28.0526,0.534137
"('FeLip9', 'PET', 2, 10, 16, 92)",-7172.86,-29.6915,0.548363
"('FeLip9', 'PET', 2, 11, 0, 0)",-7140.45,-15.8365,0.791588
"('FeLip9', 'PET', 2, 11, 1, 1)",-7149.34,-6.88616,1.12602
"('FeLip9', 'PET', 2, 11, 2, 2)",-7158.41,-11.3167,0.806097
"('FeLip9', 'PET', 2, 11, 3, 6)",-7166.72,-14.8161,0.81163
"('FeLip9', 'PET', 2, 11, 4, 15)",-7169.45,-17.4186,0.796254
"('FeLip9', 'PET', 2, 11, 5, 17)",-7166.53,-15.6306,0.818383
"('FeLip9', 'PET', 2, 11, 6, 28)",-7168.94,-17.0841,0.804167
"('FeLip9', 'PET', 2, 11, 7, 57)",-7164.39,-12.1019,0.818703
"('FeLip9', 'PET', 2, 11, 8, 63)",-7167.49,-15.4806,0.80843
"('FeLip9', 'PET', 2, 11, 9, 74)",-7163.88,-13.5736,0.816194
"('FeLip9', 'PET', 2, 11, 10, 84)",-7165.52,-14.9379,0.80926
"('FeLip9', 'PET', 2, 11, 11, 90)",-7161.73,-10.7458,0.827936
"('FeLip9', 'PET', 2, 11, 12, 95)",-7164.05,-12.7901,0.84879
"('FeLip9', 'PET', 2, 11, 13, 97)",-7165.84,-15.5054,0.831152
"('FeLip9', 'PET', 2, 11, 14, 99)",-7166.07,-15.7227,0.819735
"('FeLip9', 'PET', 2, 12, 0, 0)",-7162.14,-49.3653,0.513415
"('FeLip9', 'PET', 2, 12, 1, 10)",-7170.03,-20.7172,0.599461
"('FeLip9', 'PET', 2, 12, 2, 11)",-7173.06,-24.1606,0.556439
"('FeLip9', 'PET', 2, 12, 3, 25)",-7173.51,-23.3288,0.553608
"('FeLip9', 'PET', 2, 12, 4, 26)",-7174.28,-25.7531,0.506936
"('FeLip9', 'PET', 2, 12, 5, 28)",-7172.19,-21.6746,0.520202
"('FeLip9', 'PET', 2, 12, 6, 31)",-7175.28,-28.029,0.512604
"('FeLip9', 'PET', 2, 12, 7, 38)",-7177.54,-28.7813,0.498815
"('FeLip9', 'PET', 2, 12, 8, 42)",-7179.97,-30.5622,0.474699
"('FeLip9', 'PET', 2, 12, 9, 51)",-7172.87,-25.5776,0.50614
"('FeLip9', 'PET', 2, 12, 10, 53)",-7172.57,-25.5201,0.503877
"('FeLip9', 'PET', 2, 12, 11, 55)",-7178.28,-31.0674,0.496193
"('FeLip9', 'PET', 2, 12, 12, 61)",-7178.89,-34.7467,0.486152
"('FeLip9', 'PET', 2, 12, 13, 75)",-7178.4,-34.8099,0.489156
"('FeLip9', 'PET', 2, 12, 14, 76)",-7177.16,-35.6575,0.469105
"('FeLip9', 'PET', 2, 12, 15, 77)",-7178.43,-36.6118,0.480859
"('FeLip9', 'PET', 2, 13, 0, 0)",-7144.96,-43.4108,0.623126
"('FeLip9', 'PET', 2, 13, 1, 1)",-7167.05,-38.9921,0.621201
"('FeLip9', 'PET', 2, 13, 2, 20)",-7165.35,-33.0401,0.632119
"('FeLip9', 'PET', 2, 13, 3, 21)",-7168.17,-35.0523,0.570805
"('FeLip9', 'PET', 2, 13, 4, 26)",-7169.12,-34.4483,0.551419
"('FeLip9', 'PET', 2, 13, 5, 31)",-7167.98,-34.9683,0.561686
"('FeLip9', 'PET', 2, 13, 6, 32)",-7163.09,-29.5935,0.616622
"('FeLip9', 'PET', 2, 13, 7, 35)",-7162.7,-30.5336,0.640389
"('FeLip9', 'PET', 2, 13, 8, 41)",-7163.66,-35.5414,0.636056
"('FeLip9', 'PET', 2, 13, 9, 50)",-7167.77,-37.9611,0.641248
"('FeLip9', 'PET', 2, 13, 10, 64)",-7165.17,-39.2702,0.563757
"('FeLip9', 'PET', 2, 13, 11, 65)",-7169.32,-38.9852,0.574258
"('FeLip9', 'PET', 2, 14, 0, 0)",-7137.71,-26.1702,0.695038
"('FeLip9', 'PET', 2, 14, 1, 1)",-7149.72,-19.4775,0.86582
"('FeLip9', 'PET', 2, 14, 2, 2)",-7154.44,-16.0241,0.918268
"('FeLip9', 'PET', 2, 14, 3, 4)",-7162.02,-16.2601,0.941478
"('FeLip9', 'PET', 2, 14, 4, 5)",-7165.7,-23.1802,0.85079
"('FeLip9', 'PET', 2, 14, 5, 6)",-7160.78,-15.6163,0.873017
"('FeLip9', 'PET', 2, 14, 6, 8)",-7160.72,-17.4503,0.896072
"('FeLip9', 'PET', 2, 14, 7, 17)",-7161.89,-19.7836,0.893278
"('FeLip9', 'PET', 2, 14, 8, 53)",-7162.45,-17.6,0.911892
"('FeLip9', 'PET', 2, 14, 9, 54)",-7165.07,-19.638,0.926272
"('FeLip9', 'PET', 2, 14, 10, 60)",-7168.04,-27.1728,0.806177
"('FeLip9', 'PET', 2, 14, 11, 66)",-7168.42,-26.2302,0.7526
"('FeLip9', 'PET', 2, 14, 12, 71)",-7167.47,-24.2644,0.732074
