,Total Energy,Binding Energy,Ligand SASA
"('FeLip9', 'PET', 1, 1, 4, 4)",-7166.96,-31.5422,0.611085
"('FeLip9', 'PET', 1, 1, 5, 9)",-7161.8,-25.7547,0.703962
"('FeLip9', 'PET', 1, 1, 6, 13)",-7167.08,-29.2977,0.628898
"('FeLip9', 'PET', 1, 1, 7, 14)",-7166.66,-26.1796,0.598067
"('FeLip9', 'PET', 1, 1, 8, 26)",-7165.83,-24.5467,0.625654
"('FeLip9', 'PET', 1, 1, 9, 29)",-7169.5,-30.8365,0.588576
"('FeLip9', 'PET', 1, 1, 10, 32)",-7168.1,-26.1067,0.637095
"('FeLip9', 'PET', 1, 1, 11, 51)",-7171.81,-29.6733,0.597873
"('FeLip9', 'PET', 1, 1, 12, 57)",-7171.98,-31.2785,0.648785
"('FeLip9', 'PET', 1, 1, 13, 58)",-7174.12,-32.8807,0.599321
"('FeLip9', 'PET', 1, 1, 14, 81)",-7167.38,-29.9493,0.655057
"('FeLip9', 'PET', 1, 1, 15, 87)",-7168.0,-31.0909,0.642325
"('FeLip9', 'PET', 1, 1, 16, 88)",-7171.26,-33.7226,0.592784
"('FeLip9', 'PET', 1, 1, 17, 92)",-7170.22,-34.5053,0.579436
"('FeLip9', 'PET', 1, 2, 0, 0)",-7143.05,-42.2968,0.551434
"('FeLip9', 'PET', 1, 2, 1, 1)",-7152.16,-21.4989,0.794368
"('FeLip9', 'PET', 1, 2, 2, 2)",-7157.04,-19.0604,0.785375
"('FeLip9', 'PET', 1, 2, 3, 3)",-7161.89,-22.7917,0.676579
"('FeLip9', 'PET', 1, 2, 4, 4)",-7163.02,-25.7409,0.655991
"('FeLip9', 'PET', 1, 2, 5, 6)",-7163.63,-24.3291,0.698529
"('FeLip9', 'PET', 1, 2, 6, 7)",-7163.55,-24.7588,0.687129
"('FeLip9', 'PET', 1, 2, 7, 10)",-7161.3,-23.3964,0.645452
"('FeLip9', 'PET', 1, 2, 8, 15)",-7163.23,-24.5241,0.641618
"('FeLip9', 'PET', 1, 2, 9, 19)",-7163.77,-25.2352,0.662106
"('FeLip9', 'PET', 1, 2, 10, 21)",-7161.91,-20.9664,0.684283
"('FeLip9', 'PET', 1, 2, 11, 22)",-7154.42,-15.774,0.669307
"('FeLip9', 'PET', 1, 2, 12, 23)",-7154.27,-15.7477,0.704124
"('FeLip9', 'PET', 1, 2, 13, 25)",-7155.17,-19.1909,0.670641
"('FeLip9', 'PET', 1, 2, 14, 26)",-7158.15,-16.9604,0.664825
"('FeLip9', 'PET', 1, 2, 15, 27)",-7161.69,-17.0125,0.686764
"('FeLip9', 'PET', 1, 2, 16, 28)",-7166.59,-22.3108,0.645386
"('FeLip9', 'PET', 1, 2, 17, 32)",-7165.14,-22.2542,0.644541
"('FeLip9', 'PET', 1, 2, 18, 33)",-7169.44,-26.0899,0.63285
"('FeLip9', 'PET', 1, 2, 19, 35)",-7167.3,-24.0992,0.639095
"('FeLip9', 'PET', 1, 2, 20, 43)",-7168.92,-26.1347,0.620336
"('FeLip9', 'PET', 1, 2, 21, 49)",-7168.59,-27.0995,0.598949
"('FeLip9', 'PET', 1, 2, 22, 58)",-7167.13,-27.7082,0.600604
"('FeLip9', 'PET', 1, 2, 23, 61)",-7167.29,-27.3523,0.617137
"('FeLip9', 'PET', 1, 2, 24, 70)",-7167.64,-27.1989,0.628063
"('FeLip9', 'PET', 1, 2, 25, 76)",-7167.08,-28.0417,0.624175
"('FeLip9', 'PET', 1, 2, 26, 96)",-7161.96,-22.3329,0.643487
"('FeLip9', 'PET', 1, 2, 27, 98)",-7164.81,-26.8633,0.632406
"('FeLip9', 'PET', 1, 3, 0, 0)",-7140.42,-42.7638,0.553095
"('FeLip9', 'PET', 1, 3, 1, 1)",-7143.51,-15.2266,0.743324
"('FeLip9', 'PET', 1, 3, 2, 2)",-7161.12,-29.0539,0.595645
"('FeLip9', 'PET', 1, 3, 3, 9)",-7147.1,-13.6658,0.725222
"('FeLip9', 'PET', 1, 3, 4, 10)",-7146.77,-24.1727,0.666541
"('FeLip9', 'PET', 1, 3, 5, 11)",-7155.84,-26.9634,0.652074
"('FeLip9', 'PET', 1, 3, 6, 17)",-7156.05,-22.0644,0.702479
"('FeLip9', 'PET', 1, 3, 7, 18)",-7159.51,-25.2123,0.712983
"('FeLip9', 'PET', 1, 3, 8, 22)",-7155.41,-27.0796,0.672649
"('FeLip9', 'PET', 1, 3, 9, 30)",-7159.15,-27.9703,0.641937
"('FeLip9', 'PET', 1, 3, 10, 31)",-7165.1,-30.5049,0.632634
"('FeLip9', 'PET', 1, 3, 11, 38)",-7159.43,-26.2709,0.67978
"('FeLip9', 'PET', 1, 3, 12, 45)",-7158.51,-27.0846,0.643283
"('FeLip9', 'PET', 1, 3, 13, 47)",-7159.76,-27.7363,0.647397
"('FeLip9', 'PET', 1, 3, 14, 52)",-7159.49,-30.5503,0.632086
"('FeLip9', 'PET', 1, 3, 15, 57)",-7158.51,-27.7308,0.60608
"('FeLip9', 'PET', 1, 3, 16, 69)",-7151.42,-26.2837,0.676097
"('FeLip9', 'PET', 1, 3, 17, 73)",-7152.7,-26.2149,0.666414
"('FeLip9', 'PET', 1, 3, 18, 80)",-7151.81,-25.2004,0.687224
"('FeLip9', 'PET', 1, 3, 19, 81)",-7151.72,-19.8785,0.676724
"('FeLip9', 'PET', 1, 3, 20, 83)",-7153.62,-26.7773,0.696198
"('FeLip9', 'PET', 1, 3, 21, 89)",-7147.89,-15.9069,0.809051
"('FeLip9', 'PET', 1, 3, 22, 92)",-7155.15,-21.1402,0.717955
"('FeLip9', 'PET', 1, 3, 23, 95)",-7162.65,-27.8873,0.611906
"('FeLip9', 'PET', 1, 3, 24, 98)",-7160.5,-27.3003,0.621319
"('FeLip9', 'PET', 1, 4, 0, 0)",-7152.41,-43.9143,0.542452
"('FeLip9', 'PET', 1, 4, 1, 1)",-7149.3,-17.4089,0.755326
"('FeLip9', 'PET', 1, 4, 2, 4)",-7148.34,-15.564,0.767128
"('FeLip9', 'PET', 1, 4, 3, 7)",-7150.21,-17.7565,0.713554
"('FeLip9', 'PET', 1, 4, 4, 9)",-7147.17,-12.6899,0.838999
"('FeLip9', 'PET', 1, 4, 5, 10)",-7148.58,-13.5826,0.82511
"('FeLip9', 'PET', 1, 4, 6, 11)",-7150.09,-13.729,0.82837
"('FeLip9', 'PET', 1, 4, 7, 13)",-7152.44,-16.9334,0.70718
"('FeLip9', 'PET', 1, 4, 8, 15)",-7154.82,-21.4394,0.627342
"('FeLip9', 'PET', 1, 4, 9, 16)",-7154.78,-17.0329,0.600433
"('FeLip9', 'PET', 1, 4, 10, 17)",-7157.34,-17.8278,0.574409
"('FeLip9', 'PET', 1, 4, 11, 21)",-7162.36,-23.0451,0.542313
"('FeLip9', 'PET', 1, 4, 12, 22)",-7160.55,-21.5494,0.538932
"('FeLip9', 'PET', 1, 4, 13, 29)",-7160.42,-21.4427,0.553541
"('FeLip9', 'PET', 1, 4, 14, 37)",-7160.32,-21.4619,0.551898
"('FeLip9', 'PET', 1, 4, 15, 70)",-7154.58,-17.7655,0.579531
"('FeLip9', 'PET', 1, 4, 16, 71)",-7154.71,-15.1787,0.57843
"('FeLip9', 'PET', 1, 4, 17, 72)",-7151.79,-12.2494,0.614013
"('FeLip9', 'PET', 1, 4, 18, 78)",-7150.8,-9.74144,0.646339
"('FeLip9', 'PET', 1, 4, 19, 80)",-7150.87,-11.6731,0.625324
"('FeLip9', 'PET', 1, 4, 20, 81)",-7152.67,-12.7816,0.605577
"('FeLip9', 'PET', 1, 4, 21, 84)",-7159.26,-18.3772,0.546544
"('FeLip9', 'PET', 1, 5, 0, 0)",-7143.03,-41.0814,0.538287
"('FeLip9', 'PET', 1, 5, 1, 1)",-7140.42,-12.02,0.822319
"('FeLip9', 'PET', 1, 5, 2, 2)",-7154.9,-26.1979,0.61893
"('FeLip9', 'PET', 1, 5, 3, 6)",-7148.53,-13.6458,0.776899
"('FeLip9', 'PET', 1, 5, 4, 7)",-7150.55,-8.73645,0.757773
"('FeLip9', 'PET', 1, 5, 5, 8)",-7153.53,-8.71077,0.636045
"('FeLip9', 'PET', 1, 5, 6, 9)",-7165.62,-23.3875,0.609715
"('FeLip9', 'PET', 1, 5, 7, 11)",-7162.67,-20.4434,0.63487
"('FeLip9', 'PET', 1, 5, 8, 12)",-7164.19,-22.9682,0.683166
"('FeLip9', 'PET', 1, 5, 9, 31)",-7169.01,-23.7388,0.663778
"('FeLip9', 'PET', 1, 5, 10, 32)",-7159.81,-16.162,0.746236
"('FeLip9', 'PET', 1, 5, 11, 34)",-7165.5,-26.4399,0.658604
"('FeLip9', 'PET', 1, 5, 12, 37)",-7166.27,-22.0366,0.632454
"('FeLip9', 'PET', 1, 5, 13, 54)",-7164.65,-21.5941,0.639272
"('FeLip9', 'PET', 1, 5, 14, 59)",-7165.74,-25.173,0.705764
"('FeLip9', 'PET', 1, 5, 15, 66)",-7167.64,-23.4214,0.625757
"('FeLip9', 'PET', 1, 5, 16, 70)",-7167.87,-23.5149,0.605445
"('FeLip9', 'PET', 1, 5, 17, 74)",-7163.72,-28.2122,0.659882
"('FeLip9', 'PET', 1, 5, 18, 75)",-7163.74,-24.1255,0.71779
"('FeLip9', 'PET', 1, 5, 19, 80)",-7159.0,-17.7615,0.722819
"('FeLip9', 'PET', 1, 5, 20, 83)",-7164.39,-22.7596,0.713519
"('FeLip9', 'PET', 1, 5, 21, 85)",-7159.72,-19.8615,0.759801
"('FeLip9', 'PET', 1, 5, 22, 87)",-7160.39,-24.7912,0.702168
"('FeLip9', 'PET', 1, 5, 23, 88)",-7164.11,-21.0933,0.659569
"('FeLip9', 'PET', 1, 5, 24, 93)",-7175.94,-33.2985,0.600418
"('FeLip9', 'PET', 1, 6, 0, 0)",-7146.42,-43.6863,0.562268
"('FeLip9', 'PET', 1, 6, 1, 1)",-7150.73,-22.7251,0.653112
"('FeLip9', 'PET', 1, 6, 2, 4)",-7164.02,-23.3958,0.596472
"('FeLip9', 'PET', 1, 6, 3, 5)",-7165.51,-34.1256,0.558583
"('FeLip9', 'PET', 1, 6, 4, 7)",-7174.25,-40.887,0.506138
"('FeLip9', 'PET', 1, 6, 5, 8)",-7172.38,-40.5155,0.486582
"('FeLip9', 'PET', 1, 6, 6, 15)",-7181.52,-47.6319,0.470201
"('FeLip9', 'PET', 1, 6, 7, 43)",-7177.62,-47.0784,0.467624
"('FeLip9', 'PET', 1, 6, 8, 94)",-7175.11,-42.7535,0.476547
"('FeLip9', 'PET', 1, 6, 9, 98)",-7177.54,-47.9872,0.464223
"('FeLip9', 'PET', 1, 7, 0, 0)",-7146.96,-41.8812,0.543307
"('FeLip9', 'PET', 1, 7, 1, 1)",-7146.17,-19.6897,0.713648
"('FeLip9', 'PET', 1, 7, 2, 2)",-7150.67,-13.4163,0.793579
"('FeLip9', 'PET', 1, 7, 3, 3)",-7154.02,-15.9681,0.737383
"('FeLip9', 'PET', 1, 7, 4, 4)",-7163.51,-25.4701,0.653557
"('FeLip9', 'PET', 1, 7, 5, 33)",-7157.22,-21.289,0.723852
"('FeLip9', 'PET', 1, 7, 6, 34)",-7161.43,-20.5798,0.738548
"('FeLip9', 'PET', 1, 7, 7, 37)",-7164.51,-21.0243,0.724195
"('FeLip9', 'PET', 1, 7, 8, 42)",-7164.28,-23.6166,0.704689
"('FeLip9', 'PET', 1, 7, 9, 45)",-7164.76,-21.5816,0.735515
"('FeLip9', 'PET', 1, 7, 10, 50)",-7169.86,-30.2501,0.561578
"('FeLip9', 'PET', 1, 7, 11, 56)",-7171.3,-27.8002,0.56213
"('FeLip9', 'PET', 1, 7, 12, 64)",-7176.56,-28.0002,0.580556
"('FeLip9', 'PET', 1, 7, 13, 80)",-7173.11,-23.8848,0.550975
"('FeLip9', 'PET', 1, 7, 14, 83)",-7177.17,-28.3944,0.545662
"('FeLip9', 'PET', 1, 7, 15, 91)",-7179.74,-30.2884,0.541182
"('FeLip9', 'PET', 1, 7, 16, 93)",-7175.21,-31.4098,0.513011
"('FeLip9', 'PET', 1, 7, 17, 99)",-7177.57,-31.2702,0.505071
"('FeLip9', 'PET', 1, 8, 0, 0)",-7133.45,-42.7715,0.537224
